"customer_key","customer_number","customer_name","age","age_group","customer_group","total_orders","total_sales","total_quantity","total_products","last_order","lifespan_month","recency","avg_order_value","avg_monthly_spend"
1,AW00011000,Jon Yang,53,Above 50,VIP,3,8249,8,8,"2013-05-03",28,143,2749.6667,294.6071
2,AW00011001,Eugene Huang,48,"40-49",VIP,3,6384,11,10,"2013-12-10",35,136,2128.0000,182.4000
3,AW00011002,Ruben Torres,54,Above 50,VIP,3,8114,4,4,"2013-02-23",26,146,2704.6667,312.0769
4,AW00011003,Christy Zhu,51,Above 50,VIP,3,8139,9,9,"2013-05-10",29,143,2713.0000,280.6552
5,AW00011004,Elizabeth Johnson,45,"40-49",VIP,3,8196,6,6,"2013-05-01",28,143,2732.0000,292.7143
6,AW00011005,Julio Ruiz,48,"40-49",VIP,3,8121,6,6,"2013-05-02",28,143,2707.0000,290.0357
7,AW00011006,Janet Alvarez,48,"40-49",VIP,3,8119,5,5,"2013-05-14",28,143,2706.3333,289.9643
8,AW00011007,Marco Mehta,55,Above 50,VIP,3,8211,8,8,"2013-03-19",27,145,2737.0000,304.1111
9,AW00011008,Rob Verhoff,49,"40-49",VIP,3,8106,7,7,"2013-03-02",26,145,2702.0000,311.7692
10,AW00011009,Shannon Carlson,55,Above 50,VIP,3,8091,5,5,"2013-05-09",28,143,2697.0000,288.9643
11,AW00011010,Jacquelyn Suarez,55,Above 50,VIP,3,8088,4,4,"2013-05-23",29,143,2696.0000,278.8966
12,AW00011011,Curtis Lu,55,Above 50,VIP,3,8133,4,4,"2013-03-19",27,145,2711.0000,301.2222
13,AW00011012,Lauren Walker,46,"40-49",NEW,2,81,5,5,"2013-10-15",7,138,40.5000,11.5714
14,AW00011013,Ian Jenkins,45,"40-49",NEW,2,114,5,5,"2014-01-21",9,135,57.0000,12.6667
15,AW00011014,Sydney Bennett,51,Above 50,NEW,2,138,6,5,"2013-04-30",1,144,69.0000,138.0000
16,AW00011015,Chloe Young,40,"40-49",NEW,1,2501,3,3,"2013-01-18",0,147,2501.0000,2501
17,AW00011016,Wyatt Hill,40,"40-49",NEW,1,2332,3,3,"2013-02-09",0,146,2332.0000,2332
18,AW00011017,Shannon Wang,75,Above 50,VIP,3,6434,4,4,"2013-10-14",34,138,2144.6667,189.2353
19,AW00011018,Clarence Rai,69,Above 50,VIP,3,6533,7,7,"2013-10-24",34,138,2177.6667,192.1471
20,AW00011019,Luke Lal,41,"40-49",NEW,17,880,33,20,"2014-01-12",11,135,51.7647,80.0000
21,AW00011020,Jordan King,41,"40-49",NEW,1,2317,2,2,"2012-12-29",0,148,2317.0000,2317
22,AW00011021,Destiny Wilson,41,"40-49",NEW,1,2372,3,3,"2013-01-23",0,147,2372.0000,2372
23,AW00011022,Ethan Zhang,41,"40-49",NEW,1,2322,2,2,"2013-01-20",0,147,2322.0000,2322
24,AW00011023,Seth Edwards,41,"40-49",NEW,2,122,6,6,"2014-01-14",11,135,61.0000,11.0909
25,AW00011024,Russell Xie,41,"40-49",NEW,2,56,6,5,"2013-07-26",1,141,28.0000,56.0000
26,AW00011025,Alejandro Beck,73,Above 50,VIP,3,6577,6,6,"2013-10-25",34,138,2192.3333,193.4412
27,AW00011026,Harold Sai,73,Above 50,VIP,3,6575,7,7,"2013-10-15",33,138,2191.6667,199.2424
28,AW00011027,Jessie Zhao,72,Above 50,VIP,3,6591,9,9,"2013-10-24",34,138,2197.0000,193.8529
29,AW00011028,Jill Jimenez,73,Above 50,VIP,3,6474,5,5,"2013-10-07",33,138,2158.0000,196.1818
30,AW00011029,Jimmy Moreno,72,Above 50,VIP,3,6565,7,7,"2013-11-11",34,137,2188.3333,193.0882
31,AW00011030,Bethany Yuan,67,Above 50,VIP,3,6471,4,4,"2013-11-09",34,137,2157.0000,190.3235
32,AW00011031,Theresa Ramos,72,Above 50,VIP,3,6478,6,6,"2013-11-13",34,137,2159.3333,190.5294
33,AW00011032,Denise Stone,72,Above 50,VIP,3,6525,10,10,"2013-11-08",33,137,2175.0000,197.7273
34,AW00011033,Jaime Nath,66,Above 50,VIP,3,6495,7,7,"2013-11-05",33,137,2165.0000,196.8182
35,AW00011034,Ebony Gonzalez,72,Above 50,VIP,3,6491,4,4,"2013-11-10",34,137,2163.6667,190.9118
36,AW00011035,Wendy Dominguez,71,Above 50,VIP,3,6451,5,5,"2013-11-15",34,137,2150.3333,189.7353
37,AW00011036,Jennifer Russell,40,"40-49",NEW,1,2355,2,2,"2013-01-22",0,147,2355.0000,2355
38,AW00011037,Chloe Garcia,41,"40-49",NEW,1,2374,7,7,"2013-01-20",0,147,2374.0000,2374
39,AW00011038,Diana Hernandez,71,Above 50,VIP,3,6437,3,3,"2013-11-12",34,137,2145.6667,189.3235
